text,label
crop is healthy and growing well,1
plants are green and strong,1
good rainfall and irrigation support,1
soil condition is excellent,1
yield looks promising this season,1
no pest or disease observed,1
crop growth is uniform and dense,1
very good vegetation across field,1
leaves are fresh and green,1
farmer is satisfied with crop condition,1
growth rate is high and stable,1
no water shortage issues,1
plants look strong and disease free,1
excellent crop performance,1
field is fully green and healthy,1
crop is in best condition,1
good sunlight and water supply,1
plants are thriving very well,1
fertilizer worked effectively,1
crop health is very good,1
all plants are growing evenly,1
healthy leaves and stems observed,1
crop is performing above expectations,1
green cover is dense,1
no visible damage in field,1
crop maturity is progressing well,1
plants are robust and strong,1
field condition is ideal,1
high productivity expected,1
crop health is excellent,1
growth is consistent across field,1
water supply is sufficient,1
no stress signs observed,1
plants are in perfect condition,1
crop is flourishing well,1
farmer is happy with yield,1
uniform growth pattern,1
no pest infestation,1
field looks vibrant green,1
crop condition is optimal,1
good environmental conditions,1
plants are fully developed,1
no issues in growth,1
healthy root system observed,1
crop is stable and strong,1
field is well maintained,1
plants show strong growth,1
crop is in peak condition,1
excellent vegetation index,1
no damage or dryness,1
crop is okay but needs improvement,0
growth is uneven in some areas,0
water supply is irregular,0
some plants are weaker,0
average crop performance observed,0
minor pest issues present,0
moderate yield expected,0
crop is not fully healthy,0
some dryness observed,0
partial green and dry leaves,0
growth is inconsistent,0
soil condition is average,0
plants need better care,0
some areas are underdeveloped,0
moderate irrigation available,0
crop condition is acceptable,0
yield may be average,0
plants are not uniform,0
slight stress observed,0
needs better water management,0
growth is slow in few areas,0
minor disease symptoms seen,0
plants are partially healthy,0
field condition is mixed,0
some damage observed,0
crop is neither good nor bad,0
moderate vegetation cover,0
uneven crop density,0
plants require attention,0
some leaves are drying,0
growth is below expectation,0
partial pest infestation,0
crop is stable but not strong,0
some areas lack nutrients,0
moderate growth rate,0
crop health is average,0
field needs improvement,0
plants are weak in patches,0
irregular rainfall affected crop,0
slightly poor performance,0
growth is moderate,0
crop condition is manageable,0
needs better irrigation,0
plants are not fully developed,0
moderate stress present,0
field shows mixed results,0
crop needs monitoring,0
not fully healthy condition,0
growth is not consistent,0
average vegetation observed,0
crop is drying due to lack of water,-1
plants are severely damaged,-1
no rainfall and drought conditions,-1
heavy pest attack observed,-1
crop is in very poor condition,-1
leaves are completely dry,-1
plants are dying,-1
very low yield expected,-1
soil is too dry,-1
crop failure likely,-1
severe water shortage,-1
disease has spread widely,-1
plants are weak and broken,-1
field is almost dry,-1
no proper irrigation,-1
crop is under stress,-1
leaves are turning yellow,-1
major pest infestation,-1
crop is deteriorating,-1
plants are not growing,-1
field condition is very bad,-1
growth has stopped,-1
extreme heat damaged crop,-1
no signs of recovery,-1
plants are wilted,-1
crop is collapsing,-1
very poor vegetation,-1
damage is irreversible,-1
crop health is critical,-1
field is almost barren,-1
plants are extremely weak,-1
water scarcity affected growth,-1
no green cover left,-1
crop is failing badly,-1
severe dryness observed,-1
plants are not surviving,-1
field is degraded,-1
low productivity expected,-1
crop is in worst condition,-1
no support from rainfall,-1
plants are lifeless,-1
field is damaged heavily,-1
growth is completely halted,-1
crop is beyond recovery,-1
soil moisture is zero,-1
plants are dead,-1
extreme stress condition,-1
crop is completely damaged,-1
no vegetation left,-1
very bad field condition,-1
